age_upon_outcome,animal_id_outcome,date_of_birth,outcome_subtype,outcome_type,sex_upon_outcome,age_upon_outcome_(days),age_upon_outcome_(years),age_upon_outcome_age_group,outcome_datetime,outcome_month,outcome_year,outcome_monthyear,outcome_weekday,outcome_hour,outcome_number,dob_year,dob_month,dob_monthyear,age_upon_intake,animal_id_intake,animal_type,breed,color,found_location,intake_condition,intake_type,sex_upon_intake,count,age_upon_intake_(days),age_upon_intake_(years),age_upon_intake_age_group,intake_datetime,intake_month,intake_year,intake_monthyear,intake_weekday,intake_hour,intake_number,time_in_shelter,time_in_shelter_days
1 year,A663168,2012-03-13 0:00,,Return to Owner,Neutered Male,365,1,"(-0.025, 2.5]",2013-10-09 15:32,10,2013,Oct-13,Wednesday,15,2,2012,3,Oct-13,1 year,A663168,Dog,Catahoula Mix,Brown Merle,Holly And Chicon in Austin (TX),Normal,Stray,Neutered Male,1,365,1,"(-0.025, 2.5]",2013-10-08 18:14,10,2013,Oct-13,Tuesday,18,2,0 days 21:18:00.000000000,0.8875
10 years,A663170,2003-09-13 0:00,,Return to Owner,Neutered Male,3650,10,"(7.5, 10.0]",2014-02-24 12:34,2,2014,Feb-14,Monday,12,1,2003,9,Feb-14,10 years,A663170,Dog,Shih Tzu Mix,White/Brown,7020 Grand Canyon Dr in Austin (TX),Normal,Stray,Neutered Male,1,3650,10,"(7.5, 10.0]",2014-02-19 11:29,2,2014,Feb-14,Wednesday,11,1,5 days 01:05:00.000000000,5.045138889
2 months,A663177,2013-07-14 0:00,,Return to Owner,Neutered Male,60,0.164383562,"(-0.025, 2.5]",2013-10-04 12:56,10,2013,Oct-13,Friday,12,1,2013,7,Oct-13,2 months,A663177,Dog,American Bulldog Mix,Brown/White,1601 Royal Crest in Austin (TX),Normal,Owner Surrender,Neutered Male,1,60,0.164383562,"(-0.025, 2.5]",2013-10-02 16:58,10,2013,Oct-13,Wednesday,16,1,1 days 19:58:00.000000000,1.831944444
2 years,A663178,2012-09-14 0:00,,Return to Owner,Neutered Male,730,2,"(-0.025, 2.5]",2015-08-01 12:09,8,2015,Aug-15,Saturday,12,1,2012,9,Aug-15,2 years,A663178,Dog,American Pit Bull Terrier Mix,White/Blue,71 & Spirt Of Texas Hwy in Austin (TX),Normal,Stray,Neutered Male,1,730,2,"(-0.025, 2.5]",2015-08-01 10:46,8,2015,Aug-15,Saturday,10,1,0 days 01:23:00.000000000,0.057638889
1 year,A663220,2012-08-12 0:00,,Adoption,Spayed Female,365,1,"(-0.025, 2.5]",2014-02-17 18:24,2,2014,Feb-14,Monday,18,1,2012,8,Feb-14,1 year,A663220,Dog,Jack Russell Terrier Mix,White/Brown,Austin (TX),Normal,Owner Surrender,Spayed Female,1,365,1,"(-0.025, 2.5]",2014-02-17 16:48,2,2014,Feb-14,Monday,16,1,0 days 01:36:00.000000000,0.066666667
1 year,A663220,2012-08-12 0:00,,Adoption,Spayed Female,365,1,"(-0.025, 2.5]",2014-02-16 14:51,2,2014,Feb-14,Sunday,14,2,2012,8,Feb-14,1 year,A663220,Dog,Jack Russell Terrier Mix,White/Brown,8207 Tonopa in Austin (TX),Normal,Stray,Spayed Female,1,365,1,"(-0.025, 2.5]",2014-02-12 13:22,2,2014,Feb-14,Wednesday,13,2,4 days 01:29:00.000000000,4.061805556
1 year,A663220,2012-08-12 0:00,,Return to Owner,Spayed Female,365,1,"(-0.025, 2.5]",2013-10-11 18:36,10,2013,Oct-13,Friday,18,3,2012,8,Oct-13,1 year,A663220,Dog,Jack Russell Terrier Mix,White/Brown,8100 Canoga in Travis (TX),Normal,Stray,Spayed Female,1,365,1,"(-0.025, 2.5]",2013-10-09 12:13,10,2013,Oct-13,Wednesday,12,3,2 days 06:23:00.000000000,2.265972222
11 months,A663237,2013-03-31 0:00,,Return to Owner,Spayed Female,330,0.904109589,"(-0.025, 2.5]",2014-03-06 13:04,3,2014,Mar-14,Thursday,13,1,2013,3,Mar-14,11 months,A663237,Dog,Boston Terrier/Pembroke Welsh Corgi,Black/White,2300 East 2Nd St in Austin (TX),Normal,Stray,Spayed Female,1,330,0.904109589,"(-0.025, 2.5]",2014-03-03 14:24,3,2014,Mar-14,Monday,14,1,2 days 22:40:00.000000000,2.944444444
9 months,A663237,2013-03-31 0:00,,Return to Owner,Spayed Female,270,0.739726027,"(-0.025, 2.5]",2014-01-06 13:43,1,2014,Jan-14,Monday,13,2,2013,3,Jan-14,9 months,A663237,Dog,Boston Terrier/Pembroke Welsh Corgi,Black/White,Cesar Chavez And Martinez in Austin (TX),Normal,Stray,Spayed Female,1,270,0.739726027,"(-0.025, 2.5]",2014-01-05 12:20,1,2014,Jan-14,Sunday,12,2,1 days 01:23:00.000000000,1.057638889
1 year,A663244,2012-03-17 0:00,Partner,Transfer,Neutered Male,365,1,"(-0.025, 2.5]",2013-12-09 12:20,12,2013,Dec-13,Monday,12,1,2012,3,Dec-13,1 year,A663244,Dog,Jack Russell Terrier/Pit Bull,White/Brown,Charmers in Austin (TX),Normal,Stray,Neutered Male,1,365,1,"(-0.025, 2.5]",2013-11-05 18:41,11,2013,Nov-13,Tuesday,18,1,33 days 17:39:00.000000000,33.73541667
1 year,A663248,2013-07-15 0:00,,Adoption,Spayed Female,365,1,"(-0.025, 2.5]",2014-07-29 16:07,7,2014,Jul-14,Tuesday,16,1,2013,7,Jul-14,1 year,A663248,Dog,Labrador Retriever/Chinese Sharpei,White,Austin (TX),Normal,Owner Surrender,Spayed Female,1,365,1,"(-0.025, 2.5]",2014-07-26 10:44,7,2014,Jul-14,Saturday,10,1,3 days 05:23:00.000000000,3.224305556
2 years,A663273,2011-09-16 0:00,Behavior,Euthanasia,Spayed Female,730,2,"(-0.025, 2.5]",2014-01-01 13:44,1,2014,Jan-14,Wednesday,13,1,2011,9,Jan-14,2 years,A663273,Dog,Catahoula Mix,Tan/Yellow Brindle,1130 Leona in Austin (TX),Sick,Owner Surrender,Intact Female,1,730,2,"(-0.025, 2.5]",2013-10-30 14:22,10,2013,Oct-13,Wednesday,14,1,62 days 23:22:00.000000000,62.97361111
2 years,A663274,2011-09-16 0:00,Partner,Transfer,Neutered Male,730,2,"(-0.025, 2.5]",2014-02-03 16:40,2,2014,Feb-14,Monday,16,1,2011,9,Feb-14,2 years,A663274,Dog,Boxer/Catahoula,Brown Brindle/White,1130 Leona in Austin (TX),Sick,Owner Surrender,Intact Male,1,730,2,"(-0.025, 2.5]",2013-10-30 14:22,10,2013,Oct-13,Wednesday,14,1,96 days 02:18:00.000000000,96.09583333
4 years,A663294,2011-04-10 0:00,,Adoption,Neutered Male,1460,4,"(2.5, 5.0]",2015-04-28 14:34,4,2015,Apr-15,Tuesday,14,1,2011,4,Apr-15,4 years,A663294,Dog,Pit Bull Mix,Brown,Estancia Pkwy And Camino Vaquero Pkwy in Austin (TX),Normal,Stray,Intact Male,1,1460,4,"(2.5, 5.0]",2015-04-10 16:49,4,2015,Apr-15,Friday,16,1,17 days 21:45:00.000000000,17.90625
8 years,A663330,2005-09-19 0:00,,Adoption,Spayed Female,2920,8,"(7.5, 10.0]",2013-10-15 16:18,10,2013,Oct-13,Tuesday,16,1,2005,9,Oct-13,8 years,A663330,Dog,Chihuahua Shorthair Mix,Black/White,Austin (TX),Normal,Owner Surrender,Spayed Female,1,2920,8,"(7.5, 10.0]",2013-10-11 16:24,10,2013,Oct-13,Friday,16,1,3 days 23:54:00.000000000,3.995833333
4 years,A663365,2011-09-19 0:00,,Adoption,Neutered Male,1460,4,"(2.5, 5.0]",2016-08-16 17:06,8,2016,Aug-16,Tuesday,17,1,2011,9,Aug-16,4 years,A663365,Dog,Miniature Poodle,White,200 W Carrie Manor in Manor (TX),Normal,Public Assist,Neutered Male,1,1460,4,"(2.5, 5.0]",2016-08-11 17:48,8,2016,Aug-16,Thursday,17,1,4 days 23:18:00.000000000,4.970833333
2 months,A663372,2013-08-04 0:00,Partner,Transfer,Unknown,60,0.164383562,"(-0.025, 2.5]",2013-10-23 17:02,10,2013,Oct-13,Wednesday,17,1,2013,8,Oct-13,2 months,A663372,Other,Rabbit Sh Mix,Brown,Austin (TX),Normal,Owner Surrender,Unknown,1,60,0.164383562,"(-0.025, 2.5]",2013-10-19 11:16,10,2013,Oct-13,Saturday,11,1,4 days 05:46:00.000000000,4.240277778
2 months,A663373,2013-08-04 0:00,Partner,Transfer,Unknown,60,0.164383562,"(-0.025, 2.5]",2013-10-23 17:02,10,2013,Oct-13,Wednesday,17,1,2013,8,Oct-13,2 months,A663373,Other,Rabbit Sh Mix,White/Tan,Austin (TX),Normal,Owner Surrender,Unknown,1,60,0.164383562,"(-0.025, 2.5]",2013-10-19 11:16,10,2013,Oct-13,Saturday,11,1,4 days 05:46:00.000000000,4.240277778
2 months,A663374,2013-08-04 0:00,Partner,Transfer,Unknown,60,0.164383562,"(-0.025, 2.5]",2013-10-23 17:02,10,2013,Oct-13,Wednesday,17,1,2013,8,Oct-13,2 months,A663374,Other,Rabbit Sh Mix,Brown,Austin (TX),Normal,Owner Surrender,Unknown,1,60,0.164383562,"(-0.025, 2.5]",2013-10-19 11:16,10,2013,Oct-13,Saturday,11,1,4 days 05:46:00.000000000,4.240277778
2 months,A663375,2013-08-04 0:00,Partner,Transfer,Unknown,60,0.164383562,"(-0.025, 2.5]",2013-10-23 17:02,10,2013,Oct-13,Wednesday,17,1,2013,8,Oct-13,2 months,A663375,Other,Rabbit Sh Mix,Brown,Austin (TX),Normal,Owner Surrender,Unknown,1,60,0.164383562,"(-0.025, 2.5]",2013-10-19 11:16,10,2013,Oct-13,Saturday,11,1,4 days 05:46:00.000000000,4.240277778
2 months,A663376,2013-08-04 0:00,Partner,Transfer,Unknown,60,0.164383562,"(-0.025, 2.5]",2013-10-23 17:02,10,2013,Oct-13,Wednesday,17,1,2013,8,Oct-13,2 months,A663376,Other,Rabbit Sh Mix,Brown,Austin (TX),Normal,Owner Surrender,Unknown,1,60,0.164383562,"(-0.025, 2.5]",2013-10-19 11:16,10,2013,Oct-13,Saturday,11,1,4 days 05:46:00.000000000,4.240277778
1 year,A663378,2012-09-17 0:00,,Return to Owner,Spayed Female,365,1,"(-0.025, 2.5]",2014-03-30 15:21,3,2014,Mar-14,Sunday,15,1,2012,9,Mar-14,1 year,A663378,Dog,Ibizan Hound Mix,Brown,7804 Los Indios Cove in Austin (TX),Normal,Stray,Spayed Female,1,365,1,"(-0.025, 2.5]",2014-03-28 10:37,3,2014,Mar-14,Friday,10,1,2 days 04:44:00.000000000,2.197222222
1 year,A663378,2012-09-17 0:00,,Return to Owner,Spayed Female,365,1,"(-0.025, 2.5]",2013-10-28 16:20,10,2013,Oct-13,Monday,16,2,2012,9,Oct-13,1 year,A663378,Dog,Ibizan Hound Mix,Brown,North Ec in Austin (TX),Normal,Stray,Spayed Female,1,365,1,"(-0.025, 2.5]",2013-10-25 8:05,10,2013,Oct-13,Friday,8,2,3 days 08:15:00.000000000,3.34375
3 years,A663388,2012-03-17 0:00,,Return to Owner,Neutered Male,1095,3,"(2.5, 5.0]",2016-01-17 17:50,1,2016,Jan-16,Sunday,17,1,2012,3,Jan-16,3 years,A663388,Dog,Border Collie Mix,Tricolor,Austin (TX),Normal,Owner Surrender,Neutered Male,1,1095,3,"(2.5, 5.0]",2016-01-17 11:14,1,2016,Jan-16,Sunday,11,1,0 days 06:36:00.000000000,0.275
1 year,A663408,2013-01-18 0:00,,Adoption,Spayed Female,365,1,"(-0.025, 2.5]",2014-04-03 12:20,4,2014,Apr-14,Thursday,12,1,2013,1,Apr-14,1 year,A663408,Dog,Australian Cattle Dog Mix,Tricolor,Austin (TX),Normal,Owner Surrender,Spayed Female,1,365,1,"(-0.025, 2.5]",2014-03-31 17:46,3,2014,Mar-14,Monday,17,1,2 days 18:34:00.000000000,2.773611111
2 years,A663410,2011-10-18 0:00,,Return to Owner,Neutered Male,730,2,"(-0.025, 2.5]",2014-02-02 16:46,2,2014,Feb-14,Sunday,16,1,2011,10,Feb-14,2 years,A663410,Dog,American Staffordshire Terrier Mix,Brown/White,14516 Amy Francis in Travis (TX),Normal,Stray,Neutered Male,1,730,2,"(-0.025, 2.5]",2014-02-01 15:44,2,2014,Feb-14,Saturday,15,1,1 days 01:02:00.000000000,1.043055556
1 year,A663411,2012-03-18 0:00,,Return to Owner,Spayed Female,365,1,"(-0.025, 2.5]",2014-02-02 16:45,2,2014,Feb-14,Sunday,16,1,2012,3,Feb-14,1 year,A663411,Dog,American Staffordshire Terrier Mix,Tricolor,14516 Amy Francis in Travis (TX),Normal,Stray,Spayed Female,1,365,1,"(-0.025, 2.5]",2014-02-01 15:44,2,2014,Feb-14,Saturday,15,1,1 days 01:01:00.000000000,1.042361111
4 years,A663422,2011-09-18 0:00,Partner,Transfer,Neutered Male,1460,4,"(2.5, 5.0]",2015-11-02 0:00,11,2015,Nov-15,Monday,0,1,2011,9,Nov-15,4 years,A663422,Dog,German Shepherd/Rottweiler,Chocolate/Tan,Austin (TX),Normal,Owner Surrender,Neutered Male,1,1460,4,"(2.5, 5.0]",2015-10-18 18:30,10,2015,Oct-15,Sunday,18,1,14 days 05:30:00.000000000,14.22916667
4 years,A663422,2011-09-18 0:00,,Adoption,Neutered Male,1460,4,"(2.5, 5.0]",2015-10-18 18:12,10,2015,Oct-15,Sunday,18,2,2011,9,Oct-15,4 years,A663422,Dog,German Shepherd/Rottweiler,Chocolate/Tan,5129 Cameron Rd in Austin (TX),Normal,Stray,Neutered Male,1,1460,4,"(2.5, 5.0]",2015-10-07 19:31,10,2015,Oct-15,Wednesday,19,2,10 days 22:41:00.000000000,10.94513889
2 years,A663422,2011-09-18 0:00,,Return to Owner,Neutered Male,730,2,"(-0.025, 2.5]",2014-04-06 14:56,4,2014,Apr-14,Sunday,14,3,2011,9,Apr-14,2 years,A663422,Dog,German Shepherd/Rottweiler,Chocolate/Tan,Fm 973 At Gilbert in Austin (TX),Normal,Stray,Neutered Male,1,730,2,"(-0.025, 2.5]",2014-04-05 18:46,4,2014,Apr-14,Saturday,18,3,0 days 20:10:00.000000000,0.840277778
2 years,A663422,2011-09-18 0:00,,Return to Owner,Neutered Male,730,2,"(-0.025, 2.5]",2013-11-23 14:20,11,2013,Nov-13,Saturday,14,4,2011,9,Nov-13,2 years,A663422,Dog,German Shepherd/Rottweiler,Chocolate/Tan,Fm 973 And 130 Toll Road in Manor (TX),Normal,Stray,Neutered Male,1,730,2,"(-0.025, 2.5]",2013-11-22 11:02,11,2013,Nov-13,Friday,11,4,1 days 03:18:00.000000000,1.1375
6 years,A663436,2011-09-18 0:00,,Adoption,Spayed Female,2190,6,"(5.0, 7.5]",2017-12-27 16:47,12,2017,Dec-17,Wednesday,16,1,2011,9,Dec-17,6 years,A663436,Dog,Australian Kelpie,Chocolate,Austin (TX),Normal,Owner Surrender,Spayed Female,1,2190,6,"(5.0, 7.5]",2017-11-02 11:00,11,2017,Nov-17,Thursday,11,1,55 days 05:47:00.000000000,55.24097222
6 years,A663436,2011-09-18 0:00,,Return to Owner,Spayed Female,2190,6,"(5.0, 7.5]",2017-10-20 10:35,10,2017,Oct-17,Friday,10,2,2011,9,Oct-17,6 years,A663436,Dog,Australian Kelpie,Chocolate,Austin (TX),Normal,Stray,Spayed Female,1,2190,6,"(5.0, 7.5]",2017-10-14 14:14,10,2017,Oct-17,Saturday,14,2,5 days 20:21:00.000000000,5.847916667
7 years,A663438,2006-09-18 0:00,,Adoption,Spayed Female,2555,7,"(5.0, 7.5]",2014-06-14 16:40,6,2014,Jun-14,Saturday,16,1,2006,9,Jun-14,7 years,A663438,Dog,Labrador Retriever Mix,Sable,Austin (TX),Normal,Owner Surrender,Spayed Female,1,2555,7,"(5.0, 7.5]",2014-04-05 15:15,4,2014,Apr-14,Saturday,15,1,70 days 01:25:00.000000000,70.05902778
9 months,A663479,2013-04-19 0:00,Partner,Transfer,Neutered Male,270,0.739726027,"(-0.025, 2.5]",2014-02-17 15:15,2,2014,Feb-14,Monday,15,1,2013,4,Feb-14,9 months,A663479,Dog,Labrador Retriever Mix,Tan/Black,305 Tillery Square in Austin (TX),Normal,Owner Surrender,Neutered Male,1,270,0.739726027,"(-0.025, 2.5]",2014-02-13 17:05,2,2014,Feb-14,Thursday,17,1,3 days 22:10:00.000000000,3.923611111
10 months,A663480,2013-04-19 0:00,Partner,Transfer,Neutered Male,300,0.821917808,"(-0.025, 2.5]",2014-02-19 14:50,2,2014,Feb-14,Wednesday,14,1,2013,4,Feb-14,9 months,A663480,Dog,Labrador Retriever Mix,Sable/Black,Austin (TX),Normal,Owner Surrender,Neutered Male,1,270,0.739726027,"(-0.025, 2.5]",2014-02-16 14:10,2,2014,Feb-14,Sunday,14,1,3 days 00:40:00.000000000,3.027777778
9 months,A663480,2013-04-19 0:00,,Adoption,Neutered Male,270,0.739726027,"(-0.025, 2.5]",2014-02-14 17:06,2,2014,Feb-14,Friday,17,2,2013,4,Feb-14,9 months,A663480,Dog,Labrador Retriever Mix,Sable/Black,305 Tillery Square in Austin (TX),Normal,Owner Surrender,Neutered Male,1,270,0.739726027,"(-0.025, 2.5]",2014-02-13 17:05,2,2014,Feb-14,Thursday,17,2,1 days 00:01:00.000000000,1.000694444
2 years,A663488,2013-07-19 0:00,Rabies Risk,Euthanasia,Neutered Male,730,2,"(-0.025, 2.5]",2016-05-16 12:43,5,2016,May-16,Monday,12,1,2013,7,May-16,2 years,A663488,Dog,German Shepherd Mix,Black,Del Valle (TX),Normal,Owner Surrender,Neutered Male,1,730,2,"(-0.025, 2.5]",2016-05-13 11:34,5,2016,May-16,Friday,11,1,3 days 01:09:00.000000000,3.047916667
4 years,A663489,2012-03-19 0:00,,Return to Owner,Spayed Female,1460,4,"(2.5, 5.0]",2016-08-22 13:11,8,2016,Aug-16,Monday,13,1,2012,3,Aug-16,4 years,A663489,Dog,Chihuahua Shorthair/Rat Terrier,Tricolor,4106 N Lamar Blvd in Austin (TX),Normal,Stray,Spayed Female,1,1460,4,"(2.5, 5.0]",2016-08-20 17:22,8,2016,Aug-16,Saturday,17,1,1 days 19:49:00.000000000,1.825694444
2 years,A663489,2012-03-19 0:00,,Return to Owner,Spayed Female,730,2,"(-0.025, 2.5]",2014-12-18 14:33,12,2014,Dec-14,Thursday,14,2,2012,3,Dec-14,2 years,A663489,Dog,Chihuahua Shorthair/Rat Terrier,Tricolor,Garland Ave in Austin (TX),Normal,Stray,Spayed Female,1,730,2,"(-0.025, 2.5]",2014-12-17 14:21,12,2014,Dec-14,Wednesday,14,2,1 days 00:12:00.000000000,1.008333333
1 year,A663495,2013-05-19 0:00,Partner,Transfer,Spayed Female,365,1,"(-0.025, 2.5]",2014-10-14 14:55,10,2014,Oct-14,Tuesday,14,1,2013,5,Oct-14,1 year,A663495,Cat,Domestic Shorthair Mix,Torbie,Austin (TX),Normal,Owner Surrender,Spayed Female,1,365,1,"(-0.025, 2.5]",2014-10-07 12:58,10,2014,Oct-14,Tuesday,12,1,7 days 01:57:00.000000000,7.08125
3 years,A663510,2012-04-19 0:00,,Return to Owner,Neutered Male,1095,3,"(2.5, 5.0]",2015-07-19 11:54,7,2015,Jul-15,Sunday,11,1,2012,4,Jul-15,3 years,A663510,Dog,Pit Bull Mix,Brown Brindle,Austin (TX),Normal,Public Assist,Neutered Male,1,1095,3,"(2.5, 5.0]",2015-07-09 12:43,7,2015,Jul-15,Thursday,12,1,9 days 23:11:00.000000000,9.965972222
8 years,A663527,2008-09-20 0:00,Suffering,Euthanasia,Spayed Female,2920,8,"(7.5, 10.0]",2017-08-30 12:08,8,2017,Aug-17,Wednesday,12,1,2008,9,Aug-17,8 years,A663527,Cat,Domestic Shorthair Mix,Tortie,12109 Shetland Chase in Austin (TX),Injured,Stray,Spayed Female,1,2920,8,"(7.5, 10.0]",2017-08-30 11:24,8,2017,Aug-17,Wednesday,11,1,0 days 00:44:00.000000000,0.030555556
3 months,A663550,2013-07-11 0:00,,Adoption,Neutered Male,90,0.246575342,"(-0.025, 2.5]",2013-10-27 11:45,10,2013,Oct-13,Sunday,11,1,2013,7,Oct-13,3 months,A663550,Cat,Domestic Shorthair Mix,Cream Tabby,Austin (TX),Normal,Owner Surrender,Neutered Male,1,90,0.246575342,"(-0.025, 2.5]",2013-10-22 13:36,10,2013,Oct-13,Tuesday,13,1,4 days 22:09:00.000000000,4.922916667
1 year,A663553,2013-06-20 0:00,,Adoption,Neutered Male,365,1,"(-0.025, 2.5]",2015-02-05 15:36,2,2015,Feb-15,Thursday,15,1,2013,6,Feb-15,1 year,A663553,Cat,Domestic Shorthair Mix,Brown Tabby/White,Austin (TX),Normal,Owner Surrender,Neutered Male,1,365,1,"(-0.025, 2.5]",2015-02-04 17:54,2,2015,Feb-15,Wednesday,17,1,0 days 21:42:00.000000000,0.904166667
2 years,A663556,2012-11-20 0:00,,Adoption,Spayed Female,730,2,"(-0.025, 2.5]",2015-02-14 13:02,2,2015,Feb-15,Saturday,13,1,2012,11,Feb-15,2 years,A663556,Dog,Papillon,Yellow/White,Austin (TX),Normal,Owner Surrender,Spayed Female,1,730,2,"(-0.025, 2.5]",2015-02-13 16:23,2,2015,Feb-15,Friday,16,1,0 days 20:39:00.000000000,0.860416667
1 year,A663562,2012-09-20 0:00,,Return to Owner,Spayed Female,365,1,"(-0.025, 2.5]",2013-12-12 15:23,12,2013,Dec-13,Thursday,15,1,2012,9,Dec-13,1 year,A663562,Dog,Rhod Ridgeback Mix,Brown/White,Austin (TX),Normal,Owner Surrender,Spayed Female,1,365,1,"(-0.025, 2.5]",2013-12-11 18:55,12,2013,Dec-13,Wednesday,18,1,0 days 20:28:00.000000000,0.852777778
3 years,A663572,2010-09-21 0:00,Partner,Transfer,Spayed Female,1095,3,"(2.5, 5.0]",2013-10-10 15:16,10,2013,Oct-13,Thursday,15,1,2010,9,Oct-13,3 years,A663572,Dog,Anatol Shepherd Mix,White/Brown,Outside Jurisdiction,Normal,Owner Surrender,Spayed Female,1,1095,3,"(2.5, 5.0]",2013-10-06 11:00,10,2013,Oct-13,Sunday,11,1,4 days 04:16:00.000000000,4.177777778
3 years,A663583,2011-09-21 0:00,,Adoption,Neutered Male,1095,3,"(2.5, 5.0]",2014-09-21 17:52,9,2014,Sep-14,Sunday,17,1,2011,9,Sep-14,2 years,A663583,Dog,Miniature Poodle Mix,Apricot,Cesar Chavez/Pleasant Valley in Austin (TX),Normal,Stray,Intact Male,1,730,2,"(-0.025, 2.5]",2014-09-15 11:15,9,2014,Sep-14,Monday,11,1,6 days 06:37:00.000000000,6.275694444
3 months,A663592,2013-07-21 0:00,,Adoption,Neutered Male,90,0.246575342,"(-0.025, 2.5]",2013-10-29 17:22,10,2013,Oct-13,Tuesday,17,1,2013,7,Oct-13,3 months,A663592,Dog,Beagle/Chihuahua Longhair,Brown,Oolong Ln in Pflugerville (TX),Normal,Stray,Intact Male,1,90,0.246575342,"(-0.025, 2.5]",2013-10-24 11:17,10,2013,Oct-13,Thursday,11,1,5 days 06:05:00.000000000,5.253472222
6 months,A663619,2013-06-21 0:00,,Adoption,Spayed Female,180,0.493150685,"(-0.025, 2.5]",2014-01-17 11:52,1,2014,Jan-14,Friday,11,1,2013,6,Jan-14,6 months,A663619,Cat,Domestic Shorthair Mix,Black/White,11501 Pollyanna in Austin (TX),Normal,Stray,Spayed Female,1,180,0.493150685,"(-0.025, 2.5]",2014-01-09 15:02,1,2014,Jan-14,Thursday,15,1,7 days 20:50:00.000000000,7.868055556
1 year,A663648,2012-09-22 0:00,,Adoption,Neutered Male,365,1,"(-0.025, 2.5]",2014-01-05 15:24,1,2014,Jan-14,Sunday,15,1,2012,9,Jan-14,1 year,A663648,Dog,Labrador Retriever Mix,Black,Westgate And Slaughter in Austin (TX),Normal,Stray,Neutered Male,1,365,1,"(-0.025, 2.5]",2013-12-24 11:19,12,2013,Dec-13,Tuesday,11,1,12 days 04:05:00.000000000,12.17013889
3 years,A663649,2013-05-22 0:00,,Adoption,Neutered Male,1095,3,"(2.5, 5.0]",2016-09-03 15:22,9,2016,Sep-16,Saturday,15,1,2013,5,Sep-16,3 years,A663649,Dog,Pit Bull Mix,Tricolor,Austin (TX),Normal,Owner Surrender,Neutered Male,1,1095,3,"(2.5, 5.0]",2016-08-09 14:18,8,2016,Aug-16,Tuesday,14,1,25 days 01:04:00.000000000,25.04444444
3 years,A663649,2013-05-22 0:00,,Adoption,Neutered Male,1095,3,"(2.5, 5.0]",2016-08-04 14:30,8,2016,Aug-16,Thursday,14,2,2013,5,Aug-16,3 years,A663649,Dog,Pit Bull Mix,Tricolor,Austin (TX),Normal,Owner Surrender,Neutered Male,1,1095,3,"(2.5, 5.0]",2016-08-01 8:58,8,2016,Aug-16,Monday,8,2,3 days 05:32:00.000000000,3.230555556
4 months,A663649,2013-05-22 0:00,,Adoption,Neutered Male,120,0.328767123,"(-0.025, 2.5]",2013-10-13 18:05,10,2013,Oct-13,Sunday,18,3,2013,5,Oct-13,4 months,A663649,Dog,Pit Bull Mix,Tricolor,Austin (TX),Normal,Owner Surrender,Neutered Male,1,120,0.328767123,"(-0.025, 2.5]",2013-10-06 11:06,10,2013,Oct-13,Sunday,11,3,7 days 06:59:00.000000000,7.290972222
2 years,A663667,2011-09-22 0:00,Behavior,Euthanasia,Neutered Male,730,2,"(-0.025, 2.5]",2013-10-17 15:33,10,2013,Oct-13,Thursday,15,1,2011,9,Oct-13,2 years,A663667,Dog,American Staffordshire Terrier Mix,White/Brown,Austin (TX),Normal,Owner Surrender,Neutered Male,1,730,2,"(-0.025, 2.5]",2013-10-12 17:17,10,2013,Oct-13,Saturday,17,1,4 days 22:16:00.000000000,4.927777778
5 years,A663673,2008-10-10 0:00,Partner,Transfer,Neutered Male,1825,5,"(2.5, 5.0]",2013-11-15 18:13,11,2013,Nov-13,Friday,18,1,2008,10,Nov-13,4 years,A663673,Dog,Great Pyrenees Mix,White,Travis (TX),Normal,Owner Surrender,Intact Male,1,1460,4,"(2.5, 5.0]",2013-10-02 14:27,10,2013,Oct-13,Wednesday,14,1,44 days 03:46:00.000000000,44.15694444
6 years,A663684,2008-10-24 0:00,,Adoption,Neutered Male,2190,6,"(5.0, 7.5]",2014-11-13 18:43,11,2014,Nov-14,Thursday,18,1,2008,10,Nov-14,6 years,A663684,Dog,Siberian Husky Mix,White/Tan,Austin (TX),Normal,Owner Surrender,Neutered Male,1,2190,6,"(5.0, 7.5]",2014-11-10 11:24,11,2014,Nov-14,Monday,11,1,3 days 07:19:00.000000000,3.304861111
6 years,A663684,2008-10-24 0:00,,Adoption,Neutered Male,2190,6,"(5.0, 7.5]",2014-11-09 19:43,11,2014,Nov-14,Sunday,19,2,2008,10,Nov-14,6 years,A663684,Dog,Siberian Husky Mix,White/Tan,6607 S Ih 35 in Austin (TX),Normal,Stray,Neutered Male,1,2190,6,"(5.0, 7.5]",2014-10-24 11:20,10,2014,Oct-14,Friday,11,2,16 days 08:23:00.000000000,16.34930556
6 years,A663692,2007-09-22 0:00,Aggressive,Euthanasia,Neutered Male,2190,6,"(5.0, 7.5]",2013-11-26 16:27,11,2013,Nov-13,Tuesday,16,1,2007,9,Nov-13,6 years,A663692,Dog,Plott Hound Mix,Brown Brindle/White,Austin (TX),Normal,Owner Surrender,Neutered Male,1,2190,6,"(5.0, 7.5]",2013-11-26 11:40,11,2013,Nov-13,Tuesday,11,1,0 days 04:47:00.000000000,0.199305556
