age_upon_intake,animal_id,animal_type,breed,color,datetime,datetime2,found_location,intake_condition,intake_type,name,sex_upon_intake
1 month,A665657,Cat,Domestic Shorthair Mix,Brown Tabby,2013-10-21T12:20:00.000,2013-10-21T12:20:00.000,2900 Sunridge Dr in Austin (TX),Normal,Stray,,Intact Male
7 years,A741766,Cat,Domestic Shorthair Mix,Black,2017-01-08T10:50:00.000,2017-01-08T10:50:00.000,4200 Avenue D in Austin (TX),Normal,Stray,*Zorro,Neutered Male
6 months,A755944,Dog,Pit Bull Mix,Black/White,2017-08-11T16:46:00.000,2017-08-11T16:46:00.000,2606 Vernon Ave in Austin (TX),Normal,Stray,*June,Intact Female
11 years,A614932,Cat,Domestic Shorthair Mix,Calico,2016-10-16T14:09:00.000,2016-10-16T14:09:00.000,Austin (TX),Normal,Owner Surrender,Batman,Spayed Female
8 months,A694400,Dog,German Shepherd Mix,Sable,2014-12-27T14:54:00.000,2014-12-27T14:54:00.000,124 W Anderson Ln in Austin (TX),Normal,Stray,,Intact Male
2 years,A687422,Dog,Dachshund Mix,Tricolor,2014-09-04T15:41:00.000,2014-09-04T15:41:00.000,11441 N Ih 35 in Austin (TX),Normal,Stray,Harley,Neutered Male
12 years,A656271,Dog,Rat Terrier Mix,White/Black,2014-05-26T14:52:00.000,2014-05-26T14:52:00.000,Enfield Rd & Woodlawn Blvd in Austin (TX),Normal,Stray,Scout,Neutered Male
3 years,A680463,Dog,Miniature Pinscher Mix,Black/Tan,2014-06-03T11:12:00.000,2014-06-03T11:12:00.000,7Th And Neches in Austin (TX),Normal,Stray,Chrissy,Intact Female
2 years,A747166,Cat,Siamese Mix,Tortie Point,2017-04-15T16:12:00.000,2017-04-15T16:12:00.000,9345 E Hwy 290 in Austin (TX),Normal,Stray,*Cleo,Intact Female
3 weeks,A761383,Cat,Domestic Shorthair Mix,Blue/White,2017-11-03T17:17:00.000,2017-11-03T17:17:00.000,642 Tillery Street in Austin (TX),Normal,Stray,*Charlie,Intact Male
1 month,A716194,Cat,Domestic Shorthair Mix,Black/White,2015-11-16T11:23:00.000,2015-11-16T11:23:00.000,1103 Speer Lane in Austin (TX),Normal,Stray,Totoro,Intact Male
2 years,A666957,Dog,Doberman Pinsch,Black/Tan,2013-11-17T11:07:00.000,2013-11-17T11:07:00.000,Austin (TX),Normal,Owner Surrender,Leroy,Neutered Male
3 weeks,A704980,Cat,Domestic Shorthair Mix,Black,2015-06-11T12:18:00.000,2015-06-11T12:18:00.000,4008 E 12Th St in Austin (TX),Normal,Stray,,Intact Male
2 years,A651690,Dog,Chihuahua Shorthair Mix,Brown,2013-10-04T17:36:00.000,2013-10-04T17:36:00.000,Grove/ Fairway in Austin (TX),Normal,Stray,Rocky,Neutered Male
1 year,A678066,Dog,Akita Mix,Tan/Black,2014-05-04T15:41:00.000,2014-05-04T15:41:00.000,Battle Bend Blv And Suburban Dr in Austin (TX),Normal,Stray,,Intact Male
3 years,A688770,Other,Opossum Mix,Gray/White,2014-09-23T14:27:00.000,2014-09-23T14:27:00.000,514 Ramble in Austin (TX),Sick,Stray,,Intact Male
2 weeks,A680134,Cat,Domestic Shorthair Mix,Brown Tabby,2014-05-30T11:34:00.000,2014-05-30T11:34:00.000,4903 D Fm 1327 in Creedmoor (TX),Normal,Stray,,Intact Male
4 weeks,A715695,Cat,Domestic Medium Hair Mix,Black,2015-11-08T12:34:00.000,2015-11-08T12:34:00.000,9701 Beck Cir in Austin (TX),Normal,Stray,,Intact Female
3 years,A733248,Dog,Maltese Mix,White,2016-08-19T12:27:00.000,2016-08-19T12:27:00.000,5205 Spring Meadow Rd  A in Austin (TX),Normal,Stray,,Intact Female
1 month,A664893,Dog,Black Mouth Cur/Dachshund,Tan/White,2013-10-10T15:02:00.000,2013-10-10T15:02:00.000,Muffin Dr in Austin (TX),Normal,Stray,*Midge,Intact Female
2 years,A668727,Dog,Catahoula Mix,Tan/White,2014-02-09T13:43:00.000,2014-02-09T13:43:00.000,12443 Tech Ridge Blvd in Austin (TX),Normal,Stray,Nala,Spayed Female
5 months,A695189,Dog,Border Collie/German Shepherd,Black/White,2015-03-07T16:36:00.000,2015-03-07T16:36:00.000,Austin (TX),Normal,Owner Surrender,Gunner,Neutered Male
2 years,A749248,Dog,Pointer Mix,Tricolor,2017-05-12T15:32:00.000,2017-05-12T15:32:00.000,7Th St in Austin (TX),Normal,Stray,,Intact Male
4 months,A741505,Cat,Domestic Shorthair Mix,Blue/White,2017-01-03T09:52:00.000,2017-01-03T09:52:00.000,4600 Nuckols Crossing # 2305 in Austin (TX),Normal,Owner Surrender,Molly,Intact Female
2 years,A737231,Dog,Pit Bull Mix,Chocolate/White,2016-10-24T11:15:00.000,2016-10-24T11:15:00.000,Austin (TX),Normal,Owner Surrender,Dozer,Intact Male
10 years,A767686,Cat,Domestic Shorthair Mix,Cream Tabby/White,2018-03-05T14:45:00.000,2018-03-05T14:45:00.000,Austin (TX),Normal,Owner Surrender,Buttercup,Spayed Female
1 month,A726094,Cat,Domestic Medium Hair Mix,Blue/White,2016-05-06T11:18:00.000,2016-05-06T11:18:00.000,6106 Randleman in Austin (TX),Normal,Stray,,Intact Male
1 week,A747779,Cat,Domestic Shorthair Mix,Tortie,2017-04-24T17:51:00.000,2017-04-24T17:51:00.000,7627 Crystalbrook W in Austin (TX),Normal,Stray,,Intact Female
4 months,A755181,Bird,Owl Mix,Brown/Black,2017-07-30T13:11:00.000,2017-07-30T13:11:00.000,2450 Ashdale in Austin (TX),Injured,Wildlife,,Unknown
1 year,A764105,Dog,German Shepherd/Border Collie,Tan/Black,2017-12-21T18:28:00.000,2017-12-21T18:28:00.000,7200 Cameron Road in Austin (TX),Normal,Stray,,Intact Female
7 months,A696652,Dog,Great Pyrenees/Labrador Retriever,Cream,2015-07-24T12:45:00.000,2015-07-24T12:45:00.000,Winters Cv And Nijmegen in Del Valle (TX),Normal,Stray,Archie,Neutered Male
5 years,A766729,Dog,Labrador Retriever/Cardigan Welsh Corgi,Red/Cream,2018-02-15T13:27:00.000,2018-02-15T13:27:00.000,Edwin Reinhardt And Lexington Street in Manor (TX),Normal,Stray,Frisky,Neutered Male
7 years,A643231,Dog,Belgian Malinois,Brown/Black,2015-04-06T17:05:00.000,2015-04-06T17:05:00.000,2727 Exposition Blvd in Austin (TX),Normal,Stray,Blitz,Intact Male
4 weeks,A678362,Other,Bat,Brown/Black,2014-05-07T19:46:00.000,2014-05-07T19:46:00.000,5608 Courtyard Dr in Austin (TX),Normal,Wildlife,,Unknown
2 years,A695162,Dog,German Shepherd Mix,Black/Tan,2015-01-10T11:45:00.000,2015-01-10T11:45:00.000,8008 Linden Rd in Travis (TX),Normal,Stray,*Travis,Intact Male
1 month,A682641,Cat,Snowshoe Mix,Seal Point/White,2014-06-30T18:27:00.000,2014-06-30T18:27:00.000,3300 Killingsworth in Travis (TX),Normal,Stray,Lilly,Intact Female
12 years,A590048,Dog,Chihuahua Shorthair Mix,Brown/White,2016-10-10T12:42:00.000,2016-10-10T12:42:00.000,Austin (TX),Normal,Public Assist,Spunky,Neutered Male
1 year,A666716,Dog,Pit Bull Mix,White,2013-11-06T11:35:00.000,2013-11-06T11:35:00.000,1215 W Mary St in Austin (TX),Normal,Stray,,Intact Female
4 years,A618937,Dog,German Shepherd Mix,Black/Tan,2015-10-09T17:13:00.000,2015-10-09T17:13:00.000,12425 Mellow Meadow Dr in Austin (TX),Normal,Owner Surrender,Max,Neutered Male
2 years,A719124,Dog,Cairn Terrier Mix,Black,2016-01-13T13:53:00.000,2016-01-13T13:53:00.000,Austin (TX),Normal,Owner Surrender,Fergus,Intact Male
1 year,A764781,Dog,Staffordshire Mix,Black/White,2018-01-06T12:43:00.000,2018-01-06T12:43:00.000,Slaughter And Congress in Austin (TX),Normal,Stray,Saige G,Intact Female
1 year,A744143,Dog,Border Terrier Mix,Black/White,2017-02-23T15:21:00.000,2017-02-23T15:21:00.000,13021 Dessau Rd in Austin (TX),Normal,Stray,,Intact Male
10 months,A696755,Dog,Pit Bull Mix,Yellow Brindle/White,2015-03-06T16:16:00.000,2015-03-06T16:16:00.000,Sagebrush And Lamar in Austin (TX),Injured,Owner Surrender,April,Spayed Female
2 weeks,A687238,Cat,Domestic Shorthair Mix,White/Black,2014-09-02T14:24:00.000,2014-09-02T14:24:00.000,1306 Delano St in Austin (TX),Normal,Stray,,Intact Male
3 years,A737895,Dog,German Shepherd Mix,Fawn,2016-11-06T13:06:00.000,2016-11-06T13:06:00.000,5717 Parkview in Travis (TX),Normal,Stray,*Max,Neutered Male
1 year,A745788,Other,Squirrel,Brown,2017-03-24T09:32:00.000,2017-03-24T09:32:00.000,1708 Sanchez St in Austin (TX),Injured,Wildlife,,Unknown
2 weeks,A752024,Cat,Domestic Shorthair Mix,Black/White,2017-06-16T15:01:00.000,2017-06-16T15:01:00.000,8718 Fm 812 in Travis (TX),Nursing,Stray,*Samwell,Intact Male
1 year,A743170,Dog,Chihuahua Shorthair/Miniature Pinscher,Tricolor,2017-02-08T11:39:00.000,2017-02-08T11:39:00.000,Austin (TX),Normal,Public Assist,Lazy,Neutered Male
7 years,A699861,Dog,Dachshund Mix,Brown/Chocolate,2016-07-15T14:46:00.000,2016-07-15T14:46:00.000,3101 West Terrace Drive in Austin (TX),Aged,Owner Surrender,Hector,Neutered Male
1 weeks,A721269,Dog,Chihuahua Shorthair/Dachshund,Chocolate/Tan,2016-02-24T11:18:00.000,2016-02-24T11:18:00.000,Austin (TX),Normal,Owner Surrender,,Intact Male
8 years,A766157,Dog,Chihuahua Shorthair Mix,Tan/White,2018-02-03T11:19:00.000,2018-02-03T11:19:00.000,West Anderson Lane And Wooten Park Drive in Austin (TX),Normal,Stray,Camilo,Intact Male
0 years,A728305,Dog,Pit Bull Mix,Tan/White,2016-06-02T19:21:00.000,2016-06-02T19:21:00.000,Austin (TX),Nursing,Owner Surrender,,Intact Male
4 months,A690518,Cat,Domestic Shorthair Mix,Black,2014-10-21T17:53:00.000,2014-10-21T17:53:00.000,4529 Clawson Rd in Austin (TX),Normal,Stray,,Intact Male
4 months,A684290,Dog,Pit Bull Mix,Blue/White,2014-07-21T14:29:00.000,2014-07-21T14:29:00.000,12211 Old Stage Trl in Austin (TX),Normal,Owner Surrender,Lefty,Intact Male
4 weeks,A715744,Cat,Siamese Mix,Flame Point,2015-11-09T11:49:00.000,2015-11-09T11:49:00.000,5506 Chadwyck Dr in Austin (TX),Normal,Stray,*Will,Intact Male
2 years,A740527,Other,Fox Mix,Gray/Red,2016-12-18T18:38:00.000,2016-12-18T18:38:00.000,3913 Valley View Rd in Austin (TX),Injured,Wildlife,,Unknown
3 years,A721427,Dog,Papillon,White/Black,2016-02-26T14:44:00.000,2016-02-26T14:44:00.000,Austin (TX),Normal,Owner Surrender,Precious,Spayed Female
4 years,A732652,Dog,Rottweiler,Black/Tan,2016-08-11T17:48:00.000,2016-08-11T17:48:00.000,Austin (TX),Normal,Owner Surrender,Shadow,Neutered Male
5 months,A701339,Other,Bat,Brown,2015-04-27T23:28:00.000,2015-04-27T23:28:00.000,3809 S Congress Ave in Austin (TX),Normal,Wildlife,,Unknown
7 years,A484925,Dog,Australian Shepherd/Labrador Retriever,Brown/Tan,2014-12-06T12:07:00.000,2014-12-06T12:07:00.000,8011 Beckett Rd in Austin (TX),Sick,Stray,Autumn,Intact Female
5 months,A696093,Cat,Domestic Shorthair Mix,Cream Tabby/White,2015-01-29T11:18:00.000,2015-01-29T11:18:00.000,3002 Ellon Rd in Austin (TX),Normal,Stray,,Intact Male
0 years,A723347,Cat,Domestic Shorthair Mix,Blue Tabby,2016-03-30T13:17:00.000,2016-03-30T13:17:00.000,10409 Crescendo Ln in Austin (TX),Nursing,Stray,,Intact Male
5 months,A701280,Other,Bat,Brown,2015-04-26T22:24:00.000,2015-04-26T22:24:00.000,501 Shep St in Austin (TX),Normal,Wildlife,,Unknown
1 month,A735659,Cat,Domestic Medium Hair Mix,White/Brown Tabby,2016-10-01T14:30:00.000,2016-10-01T14:30:00.000,11200 Manchaca Rd in Austin (TX),Normal,Stray,,Intact Male
1 year,A675381,Other,Bat Mix,Brown/Black,2014-03-26T19:07:00.000,2014-03-26T19:07:00.000,1806 W Parmer Ln in Austin (TX),Normal,Wildlife,,Unknown
1 month,A679339,Cat,Domestic Shorthair Mix,Orange Tabby/White,2014-05-19T15:33:00.000,2014-05-19T15:33:00.000,1510 E Martin Luther King Jr Blvd in Austin (TX),Normal,Stray,*Elly Mae,Intact Female
2 years,A698450,Dog,Australian Cattle Dog Mix,Tricolor,2015-03-11T16:40:00.000,2015-03-11T16:40:00.000,2000 Whirlaway in Austin (TX),Normal,Stray,*Mac,Intact Male
1 year,A713608,Dog,Pit Bull Mix,Black/White,2015-10-09T14:24:00.000,2015-10-09T14:24:00.000,6412 S Interstate 35 in Austin (TX),Normal,Stray,*Stitch,Intact Male
3 years,A665159,Dog,German Shepherd Mix,Sable,2013-10-14T14:38:00.000,2013-10-14T14:38:00.000,4Th St And Navasota in Austin (TX),Normal,Stray,Skipper,Intact Male
3 years,A729490,Dog,Lhasa Apso Mix,White,2016-06-19T11:24:00.000,2016-06-19T11:24:00.000,6575 Decker Ln in Austin (TX),Normal,Stray,Benny,Intact Male
3 weeks,A703068,Cat,Domestic Shorthair Mix,Brown Tabby,2015-05-20T11:07:00.000,2015-05-20T11:07:00.000,1405 E M Franklin Ave in Austin (TX),Normal,Stray,*Joan,Intact Female
1 year,A663055,Dog,Pit Bull Mix,Brown/White,2013-10-23T17:06:00.000,2013-10-23T17:06:00.000,Austin (TX),Normal,Owner Surrender,Mocha,Spayed Female
1 weeks,A764523,Dog,Labrador Retriever Mix,White/Black,2017-12-31T15:19:00.000,2017-12-31T15:19:00.000,Pflugerville (TX),Normal,Owner Surrender,,Intact Male
2 years,A703124,Dog,Great Pyrenees/Golden Retriever,Tan/White,2015-05-20T18:01:00.000,2015-05-20T18:01:00.000,Austin (TX),Normal,Public Assist,Charlie,Intact Male
1 month,A756839,Dog,Chihuahua Shorthair Mix,White/Tan,2017-08-26T10:35:00.000,2017-08-26T10:35:00.000,Braker And I35 in Austin (TX),Normal,Stray,,Intact Female
1 year,A635769,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-10-27T11:36:00.000,2013-10-27T11:36:00.000,2239 Cromwell Circle in Austin (TX),Normal,Stray,,Spayed Female
6 years,A765177,Dog,Dandie Dinmont Mix,Gray/Tan,2018-01-14T13:11:00.000,2018-01-14T13:11:00.000,Pflugerville (TX),Normal,Owner Surrender,Lightning,Spayed Female
9 years,A691126,Dog,Maltese/Miniature Poodle,White,2014-10-30T13:36:00.000,2014-10-30T13:36:00.000,6611 Galindo St in Austin (TX),Normal,Public Assist,Max,Neutered Male
2 months,A672808,Dog,Border Collie Mix,Black/White,2014-02-17T13:59:00.000,2014-02-17T13:59:00.000,S 1St And Wm Cannon in Austin (TX),Normal,Stray,Barack,Intact Male
4 months,A703640,Dog,Labrador Retriever Mix,Black,2015-05-27T15:13:00.000,2015-05-27T15:13:00.000,3506 Darby St in Austin (TX),Normal,Stray,Chevi,Intact Female
4 years,A728259,Dog,Miniature Pinscher Mix,Brown,2016-06-01T15:51:00.000,2016-06-01T15:51:00.000,Austin (TX),Normal,Owner Surrender,Aces,Neutered Male
2 weeks,A680582,Cat,Domestic Shorthair Mix,White,2014-06-04T15:55:00.000,2014-06-04T15:55:00.000,4702 Little Hill Circle in Austin (TX),Normal,Stray,,Unknown
2 years,A720280,Dog,Cocker Spaniel Mix,White,2016-04-19T13:28:00.000,2016-04-19T13:28:00.000,5106 Village Square in Austin (TX),Normal,Stray,Snowy,Neutered Male
4 years,A722121,Cat,Domestic Shorthair Mix,Black,2016-03-11T12:07:00.000,2016-03-11T12:07:00.000,4408 Burnet Rd in Austin (TX),Normal,Stray,,Intact Male
2 weeks,A700455,Cat,Domestic Shorthair Mix,White,2015-04-14T10:26:00.000,2015-04-14T10:26:00.000,Austin (TX),Sick,Stray,,Intact Male
5 years,A707705,Dog,English Bulldog Mix,Brown Brindle/White,2016-03-20T14:44:00.000,2016-03-20T14:44:00.000,Williamson Rd And Elm Grove Rd in Travis (TX),Normal,Stray,Rusty,Intact Male
3 days,A703850,Dog,American Bulldog Mix,White/Black,2015-05-29T15:34:00.000,2015-05-29T15:34:00.000,8909 Briardale Dr in Austin (TX),Normal,Public Assist,,Intact Male
4 years,A744493,Dog,Yorkshire Terrier Mix,Silver/Tan,2018-01-21T11:20:00.000,2018-01-21T11:20:00.000,Austin (TX),Normal,Public Assist,Emily,Spayed Female
2 years,A676621,Dog,Boxer Mix,Brown Brindle/White,2014-04-12T16:27:00.000,2014-04-12T16:27:00.000,La Casa Dr in Austin (TX),Normal,Stray,Roxi,Spayed Female
1 month,A678706,Cat,Domestic Shorthair Mix,Orange Tabby/White,2014-05-12T11:45:00.000,2014-05-12T11:45:00.000,1401 East Rundberg Ln in Austin (TX),Normal,Stray,*Lucy,Intact Female
1 month,A708904,Cat,Domestic Shorthair Mix,Cream Tabby,2015-08-02T12:27:00.000,2015-08-02T12:27:00.000,9300 Northgate in Austin (TX),Normal,Stray,*Dawson,Intact Male
2 years,A708833,Dog,Pointer Mix,Black/White,2018-01-22T21:41:00.000,2018-01-22T21:41:00.000,Austin (TX),Normal,Public Assist,Luna,Spayed Female
2 years,A747450,Dog,Labrador Retriever Mix,Black/White,2017-04-19T17:50:00.000,2017-04-19T17:50:00.000,3300 Killingsworth Lane Unit 10 in Travis (TX),Normal,Stray,*Penelope,Intact Female
2 years,A620378,Dog,Australian Kelpie Mix,Black/White,2014-03-26T11:01:00.000,2014-03-26T11:01:00.000,Austin (TX),Normal,Owner Surrender,Chase,Neutered Male
3 years,A731277,Dog,German Shepherd Mix,Black/Tan,2016-07-19T15:56:00.000,2016-07-19T15:56:00.000,7201 Levander in Austin (TX),Normal,Stray,*Gunther,Intact Male
1 year,A767443,Bird,Chicken,Brown/Tricolor,2018-03-01T11:08:00.000,2018-03-01T11:08:00.000,6001 Carnation Terrace in Austin (TX),Normal,Stray,,Intact Male
2 years,A683928,Cat,Domestic Shorthair Mix,Brown Tabby,2014-07-17T12:07:00.000,2014-07-17T12:07:00.000,Arrowwood Dr & Everest Ln in Austin (TX),Injured,Stray,,Spayed Female
10 months,A713139,Dog,Pit Bull Mix,Black Brindle/White,2015-10-23T00:54:00.000,2015-10-23T00:54:00.000,2509 E 9Th St in Austin (TX),Normal,Stray,Bruno,Neutered Male
1 year,A668571,Other,Rex Mix,White/Brown,2013-12-05T12:28:00.000,2013-12-05T12:28:00.000,8710 Burnet Rd in Austin (TX),Normal,Stray,,Intact Male
1 year,A702542,Bird,Dove,Brown,2015-05-15T12:44:00.000,2015-05-15T12:44:00.000,1830 Simond Ave in Austin (TX),Normal,Stray,,Unknown
4 months,A668961,Dog,Cairn Terrier Mix,Brown,2013-12-12T12:31:00.000,2013-12-12T12:31:00.000,Mcneil Rd in Austin (TX),Normal,Stray,,Intact Male
5 years,A529609,Dog,Belgian Malinois/Australian Shepherd,Brown/Brown Merle,2013-10-13T16:01:00.000,2013-10-13T16:01:00.000,3200 Duval in Austin (TX),Normal,Stray,Billy Jean,Spayed Female
6 years,A711438,Dog,Beagle Mix,Red/Black,2015-09-06T18:02:00.000,2015-09-06T18:02:00.000,Mansell Ave And Santa Anna St in Austin (TX),Normal,Stray,*Georgie,Intact Female
2 years,A737080,Dog,Border Collie Mix,Black,2016-10-21T20:45:00.000,2016-10-21T20:45:00.000,10000 N. Lamar Blvd in Austin (TX),Normal,Public Assist,Olivia,Intact Female
1 year,A735904,Dog,Labrador Retriever Mix,Tan/White,2017-02-10T09:44:00.000,2017-02-10T09:44:00.000,Austin (TX),Normal,Owner Surrender,Sandy,Spayed Female
10 months,A766872,Dog,Pit Bull Mix,Fawn/White,2018-02-18T14:02:00.000,2018-02-18T14:02:00.000,1009 West Dittmar Road in Austin (TX),Normal,Stray,*Torston,Intact Male
7 months,A718226,Other,Guinea Pig,Calico,2015-12-25T16:04:00.000,2015-12-25T16:04:00.000,9405 Dallum Dr in Austin (TX),Normal,Stray,,Intact Male
4 weeks,A713344,Cat,Domestic Medium Hair Mix,Blue,2015-10-05T18:04:00.000,2015-10-05T18:04:00.000,8023 Coulver in Austin (TX),Normal,Stray,Nn,Intact Male
4 weeks,A751197,Other,Bat,Red,2017-06-05T11:22:00.000,2017-06-05T11:22:00.000,6418 Jennings Dr in Austin (TX),Normal,Wildlife,,Unknown
1 year,A688080,Cat,Domestic Shorthair Mix,Blue Tabby/White,2014-09-14T12:00:00.000,2014-09-14T12:00:00.000,1802 Bumblebee in Travis (TX),Feral,Stray,,Intact Male
6 years,A476054,Dog,Labrador Retriever Mix,Black/White,2015-08-18T11:03:00.000,2015-08-18T11:03:00.000,2529 Winsted in Austin (TX),Normal,Stray,*Tula,Spayed Female
6 years,A735294,Cat,Domestic Shorthair Mix,Blue/White,2016-09-21T19:06:00.000,2016-09-21T19:06:00.000,8300 N Ih 35 in Austin (TX),Normal,Public Assist,Rosco,Neutered Male
2 months,A667726,Dog,Labrador Retriever Mix,Black/White,2013-11-21T17:52:00.000,2013-11-21T17:52:00.000,10714 San Jose Ave in Travis (TX),Normal,Stray,,Intact Male
2 months,A759385,Cat,Domestic Shorthair Mix,Blue,2017-10-01T12:23:00.000,2017-10-01T12:23:00.000,Austin (TX),Normal,Owner Surrender,,Intact Female
5 months,A759524,Cat,Domestic Shorthair Mix,Brown Tabby,2017-10-03T10:11:00.000,2017-10-03T10:11:00.000,7914 Coulver Road in Austin (TX),Normal,Stray,,Intact Female
2 months,A766630,Cat,Domestic Shorthair Mix,Black/White,2018-02-13T11:29:00.000,2018-02-13T11:29:00.000,3004 Glen Rae in Austin (TX),Normal,Stray,,Intact Female
1 year,A708375,Dog,Chihuahua Shorthair Mix,Red,2015-07-27T08:40:00.000,2015-07-27T08:40:00.000,6902 Colony Park in Austin (TX),Injured,Stray,*Foxy,Intact Female
1 month,A708442,Cat,Domestic Shorthair Mix,Black/White,2015-07-27T18:19:00.000,2015-07-27T18:19:00.000,4710 Prock Lane in Austin (TX),Normal,Stray,Millie,Intact Female
4 weeks,A748095,Cat,Domestic Shorthair Mix,Blue Tabby/White,2017-04-29T10:31:00.000,2017-04-29T10:31:00.000,204 Florence in Austin (TX),Normal,Owner Surrender,*Treasure,Intact Female
5 months,A755739,Cat,Domestic Shorthair Mix,Tortie,2017-08-08T12:25:00.000,2017-08-08T12:25:00.000,7506 Wynne Lane in Austin (TX),Normal,Stray,Camille,Intact Female
2 years,A724430,Cat,Domestic Shorthair Mix,Lynx Point,2016-04-17T12:58:00.000,2016-04-17T12:58:00.000,13812 Lazy Ridge Dr in Austin (TX),Normal,Stray,,Intact Male
1 month,A717999,Cat,Domestic Shorthair Mix,Black,2015-12-19T11:53:00.000,2015-12-19T11:53:00.000,2536 Lavendale Ct in Austin (TX),Normal,Stray,Johann,Intact Male
1 year,A692611,Dog,Labrador Retriever/German Shepherd,Tan/White,2014-11-23T13:43:00.000,2014-11-23T13:43:00.000,6001 Shepherd Mountain Cv in Austin (TX),Normal,Stray,Amber,Intact Female
1 month,A719483,Dog,Labrador Retriever Mix,Yellow,2016-01-21T11:06:00.000,2016-01-21T11:06:00.000,1305 Citation Circle in Del Valle (TX),Normal,Stray,*Babs,Intact Female
2 months,A707931,Cat,Domestic Shorthair Mix,Blue Tabby/White,2015-07-20T12:26:00.000,2015-07-20T12:26:00.000,11009 Amblewood Way in Austin (TX),Normal,Stray,*Moon,Unknown
7 years,A535375,Dog,Boxer,Brown/White,2015-01-29T16:14:00.000,2015-01-29T16:14:00.000,5813 Breezewood Dr in Austin (TX),Normal,Stray,Coco,Spayed Female
2 years,A707058,Dog,Havanese,White/Blue,2015-07-07T12:19:00.000,2015-07-07T12:19:00.000,Elm Creek Dr in Austin (TX),Normal,Stray,,Intact Male
4 years,A624351,Dog,Jack Russell Terrier Mix,White/Brown,2016-06-28T15:18:00.000,2016-06-28T15:18:00.000,Von Quintus Rd & Burklund Farms Rd in Travis (TX),Normal,Stray,*Flower,Spayed Female
11 years,A715805,Cat,Domestic Shorthair Mix,Orange Tabby/White,2015-11-10T12:46:00.000,2015-11-10T12:46:00.000,Lawton/ Bullcreek in Austin (TX),Sick,Stray,Taffy,Neutered Male
1 month,A728398,Cat,Domestic Shorthair Mix,Brown Tabby/White,2016-06-03T15:25:00.000,2016-06-03T15:25:00.000,1914 Canterberry St in Austin (TX),Sick,Stray,,Intact Male
2 years,A762556,Dog,Rhod Ridgeback Mix,Tan/White,2017-11-21T14:38:00.000,2017-11-21T14:38:00.000,1704 Nelms in Austin (TX),Normal,Stray,Sofia,Intact Female
5 months,A706252,Dog,Australian Cattle Dog Mix,Brown Merle/White,2015-06-26T15:01:00.000,2015-06-26T15:01:00.000,San Marcos & Parsons Street in Manor (TX),Normal,Public Assist,*Parker,Intact Male
1 month,A685810,Cat,Domestic Shorthair Mix,Orange Tabby,2014-08-12T19:40:00.000,2014-08-12T19:40:00.000,863 Airport Blvd in Austin (TX),Normal,Stray,*Mimi,Intact Female
2 years,A719083,Dog,Dachshund/Chihuahua Shorthair,Tricolor,2016-01-12T13:31:00.000,2016-01-12T13:31:00.000,5100 Pecan Brook Drive in Austin (TX),Normal,Stray,*Boris,Intact Male
1 year,A670948,Cat,Domestic Shorthair Mix,Brown Tabby,2014-01-16T13:54:00.000,2014-01-16T13:54:00.000,8529 Grandview in Jonestown (TX),Normal,Stray,,Intact Male
1 year,A719168,Dog,Staffordshire Mix,Black/White,2016-01-14T14:50:00.000,2016-01-14T14:50:00.000,William Cannon And Pleasent Valley in Austin (TX),Normal,Stray,Spot,Intact Female
1 year,A695185,Dog,Yorkshire Terrier Mix,Tan/Black,2015-01-10T17:05:00.000,2015-01-10T17:05:00.000,5800 Techni Center Dr # 1023 in Austin (TX),Normal,Stray,Buddy,Intact Male
4 months,A745675,Cat,Domestic Shorthair Mix,Brown Tabby,2017-03-22T08:47:00.000,2017-03-22T08:47:00.000,Austin (TX),Normal,Owner Surrender,Prty B Floyd,Intact Male
4 years,A720003,Dog,Labrador Retriever Mix,Buff,2016-01-31T23:17:00.000,2016-01-31T23:17:00.000,10700 Legends Ln in Austin (TX),Normal,Public Assist,Johnny B,Neutered Male
11 months,A715825,Dog,Labrador Retriever/Pit Bull,Brown/White,2015-11-10T17:15:00.000,2015-11-10T17:15:00.000,Austin (TX),Normal,Owner Surrender,Chubbs,Intact Male
3 weeks,A726782,Dog,Border Terrier Mix,Black,2016-05-14T14:20:00.000,2016-05-14T14:20:00.000,13332 Elm Grove Rd in Travis (TX),Normal,Stray,,Intact Male
8 years,A763687,Cat,Domestic Shorthair Mix,Brown Tabby,2017-12-13T18:27:00.000,2017-12-13T18:27:00.000,12349 Metric Boulevard in Austin (TX),Normal,Stray,Zeba,Spayed Female
1 month,A714211,Cat,Domestic Shorthair Mix,Blue,2015-10-19T16:45:00.000,2015-10-19T16:45:00.000,18701 Blake Manor Rd in Manor (TX),Normal,Stray,Jasmine,Intact Female
1 year,A694708,Dog,Australian Cattle Dog,Brown/White,2015-01-02T17:07:00.000,2015-01-02T17:07:00.000,Cedar Branch And Broughton Way in Austin (TX),Normal,Stray,Juno,Intact Female
3 years,A667695,Dog,German Shepherd/Labrador Retriever,Brown/Black,2013-11-21T14:12:00.000,2013-11-21T14:12:00.000,15200 Jacobson in Travis (TX),Normal,Stray,*Leo,Intact Male
3 months,A684696,Dog,Chihuahua Shorthair/Dachshund,Chocolate/White,2014-07-27T12:58:00.000,2014-07-27T12:58:00.000,Austin (TX),Normal,Owner Surrender,Scrappy,Intact Male
